iter	Passed	Remaining
0	5	506
1	7	362
2	9	304
3	11	270
4	13	255
5	16	253
6	18	249
7	21	243
8	23	237
9	25	232
10	31	255
11	33	248
12	36	242
13	38	237
14	41	237
15	44	233
16	47	232
17	50	230
18	54	230
19	56	226
20	58	221
21	61	218
22	64	215
23	67	213
24	70	212
25	73	209
26	78	211
27	80	208
28	83	205
29	86	200
30	88	196
31	90	192
32	94	191
33	96	187
34	98	183
35	100	179
36	102	175
37	105	172
38	108	169
39	110	165
40	113	163
41	114	157
42	115	153
43	118	150
44	120	147
45	123	144
46	126	142
47	128	139
48	131	136
49	134	134
50	136	131
51	139	128
52	141	125
53	143	122
54	145	118
55	147	116
56	149	113
57	153	110
58	155	108
59	158	105
60	160	102
61	163	100
62	166	97
63	168	94
64	171	92
65	173	89
66	176	86
67	179	84
68	181	81
69	184	78
70	186	76
71	188	73
72	191	70
73	194	68
74	196	65
75	199	63
76	201	60
77	204	57
78	210	55
79	213	53
80	215	50
81	218	47
82	220	45
83	222	42
84	225	39
85	228	37
86	230	34
87	232	31
88	234	28
89	237	26
90	239	23
91	241	20
92	243	18
93	246	15
94	248	13
95	250	10
96	252	7
97	254	5
98	257	2
99	259	0
